user	instance_id	overall_goal:::plausible and very likely	overall_goal:::plausible but somewhat unlikely	overall_goal:::plausible and somewhat likely	overall_goal:::implausible or very unlikely	narrative_intent:::plausible and very likely	narrative_intent:::plausible but somewhat unlikely	narrative_intent:::plausible and somewhat likely	narrative_intent:::implausible or very unlikely	author_emotional_response:::plausible and very likely	author_emotional_response:::plausible but somewhat unlikely	author_emotional_response:::plausible and somewhat likely	author_emotional_response:::implausible or very unlikely	causal_explanation:::plausible and very likely	causal_explanation:::plausible but somewhat unlikely	causal_explanation:::plausible and somewhat likely	causal_explanation:::implausible or very unlikely	prediction:::plausible and very likely	prediction:::plausible but somewhat unlikely	prediction:::implausible or very unlikely	prediction:::plausible and somewhat likely	moral:::plausible and very likely	moral:::plausible but somewhat unlikely	moral:::plausible and somewhat likely	moral:::implausible or very unlikely	narrative_feeling:::plausible and very likely	narrative_feeling:::plausible but somewhat unlikely	narrative_feeling:::plausible and somewhat likely	narrative_feeling:::implausible or very unlikely	aesthetic_feeling:::plausible and very likely	aesthetic_feeling:::plausible but somewhat unlikely	aesthetic_feeling:::plausible and somewhat likely	aesthetic_feeling:::implausible or very unlikely	character_appraisal:::plausible and very likely	character_appraisal:::plausible but somewhat unlikely	character_appraisal:::plausible and somewhat likely	character_appraisal:::implausible or very unlikely	stance:::plausible and very likely	stance:::plausible but somewhat unlikely	stance:::plausible and somewhat likely	stance:::implausible or very unlikely	I am age 18 or older.:::Yes	I have read and understand the information above.:::Yes	I want to participate in this research and continue with the study.:::Yes
67ef36b28f01335edcacf720	e5kim0l	overall_goal:::plausible and very likely						narrative_intent:::plausible and somewhat likely		author_emotional_response:::plausible and very likely				causal_explanation:::plausible and very likely					prediction:::plausible but somewhat unlikely					moral:::plausible and somewhat likely		narrative_feeling:::plausible and very likely						aesthetic_feeling:::plausible and somewhat likely		character_appraisal:::plausible and very likely						stance:::plausible and somewhat likely				
67ef36b28f01335edcacf720	Contextual-Reasoning-about-Narrative-Intents-and-Reactions-consent.html																																									I am age 18 or older.:::Yes	I have read and understand the information above.:::Yes	I want to participate in this research and continue with the study.:::Yes
67ef36b28f01335edcacf720	e5q2awq	overall_goal:::plausible and very likely				narrative_intent:::plausible and very likely				author_emotional_response:::plausible and very likely						causal_explanation:::plausible and somewhat likely		prediction:::plausible and very likely						moral:::plausible and somewhat likely			narrative_feeling:::plausible but somewhat unlikely						aesthetic_feeling:::implausible or very unlikely		character_appraisal:::plausible but somewhat unlikely			stance:::plausible and very likely						
67ae87b0d1835460d0a99abd	e5kim0l			overall_goal:::plausible and somewhat likely					narrative_intent:::implausible or very unlikely			author_emotional_response:::plausible and somewhat likely					causal_explanation:::implausible or very unlikely			prediction:::implausible or very unlikely		moral:::plausible and very likely					narrative_feeling:::plausible but somewhat unlikely				aesthetic_feeling:::plausible but somewhat unlikely					character_appraisal:::plausible and somewhat likely		stance:::plausible and very likely						
67ae87b0d1835460d0a99abd	Contextual-Reasoning-about-Narrative-Intents-and-Reactions-consent.html																																									I am age 18 or older.:::Yes	I have read and understand the information above.:::Yes	I want to participate in this research and continue with the study.:::Yes
67ae87b0d1835460d0a99abd	e5q2awq				overall_goal:::implausible or very unlikely				narrative_intent:::implausible or very unlikely			author_emotional_response:::plausible and somewhat likely			causal_explanation:::plausible but somewhat unlikely						prediction:::plausible and somewhat likely			moral:::plausible and somewhat likely				narrative_feeling:::plausible and somewhat likely			aesthetic_feeling:::plausible but somewhat unlikely					character_appraisal:::plausible and somewhat likely				stance:::plausible and somewhat likely				
66ccdd9f6b12c6ea6fa01f42	e5bsdtf			overall_goal:::plausible and somewhat likely				narrative_intent:::plausible and somewhat likely				author_emotional_response:::plausible and somewhat likely			causal_explanation:::plausible but somewhat unlikely						prediction:::plausible and somewhat likely		moral:::plausible but somewhat unlikely					narrative_feeling:::plausible and somewhat likely				aesthetic_feeling:::plausible and somewhat likely		character_appraisal:::plausible and very likely						stance:::plausible and somewhat likely				
66ccdd9f6b12c6ea6fa01f42	Contextual-Reasoning-about-Narrative-Intents-and-Reactions-consent.html																																									I am age 18 or older.:::Yes	I have read and understand the information above.:::Yes	I want to participate in this research and continue with the study.:::Yes
66ccdd9f6b12c6ea6fa01f42	e67vr8u	overall_goal:::plausible and very likely				narrative_intent:::plausible and very likely						author_emotional_response:::plausible and somewhat likely					causal_explanation:::implausible or very unlikely	prediction:::plausible and very likely						moral:::plausible and somewhat likely				narrative_feeling:::plausible and somewhat likely				aesthetic_feeling:::plausible and somewhat likely				character_appraisal:::plausible and somewhat likely			stance:::plausible but somewhat unlikely					
