Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
682600904aee28c48c2ca020,675c5393b9b2d381baa880c2,APPROVED,Not Applicable,2025-05-15T14:56:21.320000Z,2025-05-15T15:04:02.667000Z,2025-05-22T17:32:54.069000Z,2025-05-15T15:04:03.636845Z,462.0,CJYS1MGD,684,English,50,Male,White,United States,United States,United States,English,No,Full-Time
68260090f0e9d5d26bf7940c,60da68b6430d90da3b4e9bf6,APPROVED,Not Applicable,2025-05-15T14:56:23.128000Z,2025-05-15T14:58:50.048000Z,2025-05-22T17:32:37.280000Z,2025-05-15T14:58:50.775396Z,147.0,CJYS1MGD,2004,English,35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6826009399b46add8418dbc2,66aa8d04719b0f5ef3433e9c,APPROVED,Not Applicable,2025-05-15T14:56:25.846000Z,2025-05-15T15:01:58.505000Z,2025-05-22T17:31:09.750000Z,2025-05-15T15:01:59.486728Z,333.0,CJYS1MGD,1001,English,30,Male,Mixed,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68260094b8d6e2b8f7f4214a,681bdc1e16b44acc6f14c3b6,APPROVED,Not Applicable,2025-05-15T14:56:45.194000Z,2025-05-15T15:05:18.947000Z,2025-05-22T17:31:07.467000Z,2025-05-15T15:05:19.875945Z,514.0,CJYS1MGD,140,"English, French",25,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
682600a93bc0dd65aed92efe,6100b94f1750b9db274684c7,APPROVED,Not Applicable,2025-05-15T14:56:44.517000Z,2025-05-15T14:57:50.990000Z,2025-05-22T17:33:08.733000Z,2025-05-15T14:57:51.860591Z,67.0,CJYS1MGD,2159,English,24,Female,White,United States,United States,United States,English,No,Full-Time
682600ac9b25fca5d57a0365,5ae11f9709eae20001132c22,APPROVED,Not Applicable,2025-05-15T14:56:48.576000Z,2025-05-15T15:00:55.572000Z,2025-05-22T17:32:38.164000Z,2025-05-15T15:00:56.411939Z,247.0,CJYS1MGD,11082,English,39,Male,White,United States,United States,United States,English,No,Full-Time
682600b181ff836effacc13f,5ec2f009bc5aac12f131253c,APPROVED,Not Applicable,2025-05-15T14:56:55.269000Z,2025-05-15T15:06:58.004000Z,2025-05-22T17:32:42.975000Z,2025-05-15T15:06:58.865372Z,603.0,CJYS1MGD,3661,English,26,Female,White,United States,United States,United States,English,No,Full-Time
682600b3248e1ccdd51288eb,55ec49b67480920010aaa4e8,APPROVED,Not Applicable,2025-05-15T14:56:55.982000Z,2025-05-15T15:01:22.053000Z,2025-05-22T17:31:47.304000Z,2025-05-15T15:01:23.163500Z,267.0,CJYS1MGD,1328,English,35,Female,Asian,United States,United States,United States,English,No,Full-Time
682600b5c78cbb244f1b6c12,6781e2745214f6bcc5c6d6c0,APPROVED,Not Applicable,2025-05-15T14:56:57.389000Z,2025-05-15T15:00:33.400000Z,2025-05-22T17:32:31.712000Z,2025-05-15T15:00:34.187352Z,217.0,CJYS1MGD,2047,English,34,Male,White,United States,United States,United States,English,No,Full-Time
682600b858680c1c14d94ba1,62e33513e972718797c9aaeb,APPROVED,Not Applicable,2025-05-15T14:56:59.707000Z,2025-05-15T15:02:13.840000Z,2025-05-22T17:32:54.396000Z,2025-05-15T15:02:14.666555Z,315.0,CJYS1MGD,6162,English,47,Male,White,United States,United States,United States,English,No,Full-Time
682600ba9e5905679c96b1ef,673b8d1448db4a031a4a90b2,APPROVED,Not Applicable,2025-05-15T14:57:03.720000Z,2025-05-15T15:03:14.214000Z,2025-05-22T17:32:32.040000Z,2025-05-15T15:03:15.027577Z,371.0,CJYS1MGD,1144,English,33,Male,White,United States,United States,United States,English,No,Full-Time
