p1_ssf_sim,p2_ssf_sim,p1_sem_sim,p2_sem_sim,majority_preference,ssf_sim_pred,sem_sim_pred,ssf_correct,sem_correct
0.4128558933,0.6386036911,0.11707543,0.19907188,A,B,B,False,False
0.3603132496,0.416538618,0.10784012,-0.10105747,B,B,A,True,False
0.484379368,0.4374254574,0.052912023,0.0014489833,A,A,A,True,True
0.38032829,0.2920033334,0.08680186,0.05099684,A,A,A,True,True
0.3904772157,0.5158850407,0.24749453,-0.01789549,A,B,A,False,True
0.3069804398,0.387056873,0.1290265,0.07418377,A,B,A,False,True
0.3028934364,0.3318973695,-0.06563276,0.44497505,B,B,B,True,True
0.3670649853,0.4877300078,-0.035917174,-0.026521217,B,B,B,True,True
0.5089685072,0.3144280428,0.1213643,-0.051779814,A,A,A,True,True
0.4399464571,0.4055358758,-0.014284717,0.21903867,B,A,B,False,True
0.4253950109,0.2368801578,-0.018812552,0.31208226,A,A,B,True,False
0.3048815858,0.3767211239,0.003983653,0.047125027,B,B,B,True,True
0.4187022632,0.4250921563,0.050942406,-0.028329818,B,B,A,True,False
0.4638872474,0.3190872644,0.17232454,0.08954655,B,A,A,False,False
0.4153750352,0.2947968432,0.15142205,0.0034300415,A,A,A,True,True
0.4896383615,0.3500682014,0.06178112,0.029314192,A,A,A,True,True
0.2798203834,0.5199779545,0.0772424,0.10011759,B,B,B,True,True
0.3033213611,0.4534136615,0.049768627,0.08678377,B,B,B,True,True
0.4809021834,0.1453818931,-0.07130294,-0.009608407,A,A,B,True,False
0.3237739319,0.4012519861,0.086558655,-0.004679583,A,B,A,False,True
0.3191226803,0.4913930443,0.09255754,-0.015299644,B,B,A,True,False
0.3553163046,0.3328283137,0.063316666,-0.03045138,A,A,A,True,True
0.3416823721,0.3493025334,0.048294947,0.102331474,B,B,B,True,True
0.3110006032,0.5444452112,0.010982823,0.41122302,A,B,B,False,False
0.3719964995,0.5854338883,0.062904134,0.19299686,B,B,B,True,True
0.3081907997,0.2469196477,0.007082115,0.053092323,B,A,B,False,True
0.335172056,0.4238206599,-0.002029352,0.11056559,A,B,B,False,False
0.5204246626,0.1777948884,0.25649363,0.004467625,B,A,A,False,False
0.2992148768,0.3726567822,0.06460862,-0.009977897,B,B,A,True,False
0.533879416,0.1882910474,0.4166144,0.09585172,B,A,A,False,False
0.319257344,0.3221989369,0.031866908,-0.013644587,A,B,A,False,True
